"tconst","primaryTitle","startYear","endYear","rank","averageRating","numVotes","directors","writers","genres","IMDbLink","Title_IMDb_Link"
"tt0903747","Breaking Bad",2008,"2013",1,9.5,2583192,"Tricia Brock, Johan Renck, John Dahl, Scott Winant, Thomas Schnauz, Jim McKay, Peter Gould, Bronwen Hughes, David Slade, Peter Medak, Charles Haid, Terry McDonough, Michael Slovis, Adam Bernstein, George Mastras, Michelle MacLaren, Phil Abraham, Colin Bucksey, John Shiban, Sam Catlin, Bryan Cranston, Félix Enríquez Alcalá, Vince Gilligan, Tim Hunter, Rian Johnson","Patty Lin, George Mastras, Vince Gilligan, Peter Gould, J. Roberts, Moira Walley-Beckett, John Shiban, Sam Catlin, Gennifer Hutchison, Thomas Schnauz","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0903747"" target=""_blank"">tt0903747</a>","<a href=""https://www.imdb.com/title/tt0903747"" target=""_blank"">Breaking Bad</a>"
"tt0185906","Band of Brothers",2001,"2001",2,9.4,589821,"Tom Hanks, David Leland, Richard Loncraine, Tony To, Phil Alden Robinson, David Nutter, Mikael Salomon, David Frankel","Bruce C. McKenna, Graham Yost, E. Max Frye, Erik Jendresen, Erik Bork, Stephen Ambrose, John Orloff, Tom Hanks","Action, Drama, History","<a href=""https://www.imdb.com/title/tt0185906"" target=""_blank"">tt0185906</a>","<a href=""https://www.imdb.com/title/tt0185906"" target=""_blank"">Band of Brothers</a>"
"tt7366338","Chernobyl",2019,"2019",3,9.3,1022715,"Johan Renck","Craig Mazin","Drama, History, Thriller","<a href=""https://www.imdb.com/title/tt7366338"" target=""_blank"">tt7366338</a>","<a href=""https://www.imdb.com/title/tt7366338"" target=""_blank"">Chernobyl</a>"
"tt0417299","Avatar: The Last Airbender",2005,"2008",4,9.3,435244,"Dave Filoni, Anthony Lioi, Bryan Konietzko, Ethan Spaulding, Michael Dante DiMartino, Giancarlo Volpe, Joaquim Dos Santos, Lauren MacMullan","Andrew Huebner, John O'Bryan, Aaron Ehasz, Gary Scheppke, Giancarlo Volpe, Elizabeth Welch Ehasz, Lauren MacMullan, Tim Hedrick, Scott Sonneborn, Nick Malis, May Chan, Katie Mattila, Bryan Konietzko, Sib Ventress, Matt Hubbard, Joshua Hamilton, Lisa Wahlander, Michael Dante DiMartino, Ian Wilcox, Josh Stolberg, Pete Goldfinger, James Eagan, Justin Ridge, Joann Estoesta","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0417299"" target=""_blank"">tt0417299</a>","<a href=""https://www.imdb.com/title/tt0417299"" target=""_blank"">Avatar: The Last Airbender</a>"
"tt0306414","The Wire",2002,"2008",5,9.3,427869,"Robert F. Colesberry, Peter Medak, David Platt, Seith Mann, Christine Moore, Anthony Hemingway, Gloria Muzio, Clark Johnson, Ernest Dickerson, Brad Anderson, Timothy Van Patten, Rob Bailey, Daniel Attias, Clement Virgo, Agnieszka Holland, Joe Chappelle, Milcho Manchevski, Elodie Keene, Ed Bianchi, Joy Kecken, Alex Zakrzewski, Leslie Libman, Dominic West, Jim McKay, Scott Kecken, Thomas J. Wright, Steve Shill","Rafael Álvarez, Eric Ellis Overmyer, Kia Corthron, David H. Melnick, Ed Burns, Joy Kecken, George Pelecanos, David Mills, Shamit Choksey, William F. Zorzi, David Simon, Richard Price, Chris Collins, Dennis Lehane","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0306414"" target=""_blank"">tt0306414</a>","<a href=""https://www.imdb.com/title/tt0306414"" target=""_blank"">The Wire</a>"
"tt0795176","Planet Earth",2006,"2006",6,9.4,234618,"Alastair Fothergill, Mark Linfield","Gary Parker, Alastair Fothergill, Vanessa Berlowitz, David Attenborough","Documentary, Family","<a href=""https://www.imdb.com/title/tt0795176"" target=""_blank"">tt0795176</a>","<a href=""https://www.imdb.com/title/tt0795176"" target=""_blank"">Planet Earth</a>"
"tt5491994","Planet Earth II",2016,"2016",7,9.4,174436,"Justin Anderson, Elizabeth White, Ed Charles, Fredi Devas, Emma Napper, Chadden Hunter","Elizabeth White","Documentary, Family","<a href=""https://www.imdb.com/title/tt5491994"" target=""_blank"">tt5491994</a>","<a href=""https://www.imdb.com/title/tt5491994"" target=""_blank"">Planet Earth II</a>"
"tt0944947","Game of Thrones",2011,"2019",8,9.2,2592822,"Alik Sakharov, Daniel Minahan, Michael Slovis, Timothy Van Patten, Tom McCarthy, Mark Mylod, David Benioff, Jeremy Podeswa, Daniel Sackheim, Matt Shakman, Alan Taylor, Neil Marshall, Brian Kirk, Alex Graves, Miguel Sapochnik, Jack Bender, D.B. Weiss, Michelle MacLaren, David Nutter, David Petrarca","Dave Hill, George R.R. Martin, Ethan J. Antonucci, Vanessa Taylor, David Benioff, D.B. Weiss, Gursimran Sandhu, Jane Espenson, Bryan Cogman","Action, Adventure, Drama","<a href=""https://www.imdb.com/title/tt0944947"" target=""_blank"">tt0944947</a>","<a href=""https://www.imdb.com/title/tt0944947"" target=""_blank"">Game of Thrones</a>"
"tt0141842","The Sopranos",1999,"2007",9,9.2,572268,"John Patterson, David Nutter, Steve Buscemi, Martin Bruestle, Phil Abraham, David Chase, Alan Taylor, Andy Wolk, James Hayman, Nick Gomez, Timothy Van Patten, Steve Shill, Terence Winter, Allen Coulter, Matthew Penn, Jack Bender, Lorraine Senna, Daniel Attias, Rodrigo García, Henry Bronchtein, Mike Figgis, Lee Tamahori, Peter Bogdanovich, Danny Leiner","Timothy Van Patten, Jason Cahill, Frank Renzulli, Michael Caleo, Maria Laurino, Toni Kalem, Lawrence Konner, Todd A. Kessler, Nick Santora, Diane Frolov, Andrew Schneider, Mitchell Burgess, James Manos Jr., David Flebotte, Robin Green, David Chase, Terence Winter, Matthew Weiner, Michael Imperioli, Mark Saraceni, Joe Bosso, Salvatore Stabile","Crime, Drama","<a href=""https://www.imdb.com/title/tt0141842"" target=""_blank"">tt0141842</a>","<a href=""https://www.imdb.com/title/tt0141842"" target=""_blank"">The Sopranos</a>"
"tt2560140","Attack on Titan",2013,"2023",10,9.1,700093,"Yûichirô Hayashi, Shin Wakabayashi, Tetsurô Araki, Shintarô Itoga, Shinpei Ezaki, Naoki Matsuura, Masashi Koizuka, Tomomi Ikeda, Matsuo Asami, Kazuo Miyake, Mitsue Yamazaki, Miki Komuro, Yoshiyuki Fujiwara, Takashi Andô, Yuzuru Tachikawa, Tokio Igarashi, Teruyuki Ômine, Shingo Uchida, Yuumi Kawai, Makoto Bessho, Tetsuya Wakano, Ryûta Kawahara, Ryôsuke Azuma, Kiyoshi Fukumoto, Hidekazu Hara, Hiroyuki Tanaka, Kaori Makita, Yoshihide Ibata, Aiko Sakuraba, Hitomi Ezoe, Tatsuma Minamikawa, Satonobu Kikuchi, Keisuke Onishi, Daisuke Tokudo, Ken Andô, Kôki Aoshima, Yasuhiro Akamatsu, Kenji Imura, Masayuki Miyaji, Yasushi Muroya, Takayuki Hirao, Tomoko Hiramuki, Hirokazu Yamada, Jun Shishido, Akitoshi Yokoyama","Jarrod Greene, Hiroshi Seko, Jeramey Kraatz, Yasuko Kobayashi, John Burgmeier, Aaron Dismuke, Hajime Isayama, Bonny Clinkenbeard, Tyson Rinehart, J. Michael Tatum, Noboru Takagi","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt2560140"" target=""_blank"">tt2560140</a>","<a href=""https://www.imdb.com/title/tt2560140"" target=""_blank"">Attack on Titan</a>"
